Date;non-indexed rates - lowest;non-indexed rates - highest;indexed rates - lowest;indexed rates - highest;
1.1.2003;9,00;14,40;6,85;12,05;
1.2.2003;8,50;13,90;6,65;11,85;
1.3.2003;8,50;13,90;6,65;11,85;
1.4.2003;8,50;13,90;6,65;11,85;
1.5.2003;8,50;13,90;6,65;11,75;
1.6.2003;8,50;13,90;6,45;11,75;
1.7.2003;8,50;13,90;6,45;11,65;
1.8.2003;8,50;13,90;6,45;11,75;
1.9.2003;8,40;13,70;6,40;11,60;
1.10.2003;8,40;13,70;6,40;11,60;
1.11.2003;8,40;13,50;6,10;11,50;
1.12.2003;8,40;13,50;6,10;11,15;
1.1.2004;7,95;13,50;5,60;11,15;
1.2.2004;7,95;13,70;5,55;11,10;
1.3.2004;7,95;13,70;5,50;11,10;
1.4.2004;7,75;13,70;5,40;11,10;
1.5.2004;7,75;13,70;5,40;11,10;
1.6.2004;8,00;14,05;5,40;11,10;
1.7.2004;8,00;14,55;5,40;11,10;
1.8.2004;8,50;14,55;5,40;11,10;
1.9.2004;8,50;14,90;4,20;10,80;
1.10.2004;8,50;14,90;4,20;10,80;
1.11.2004;9,00;15,40;4,20;10,80;
1.12.2004;9,95;16,30;4,15;10,80;
1.1.2005;9,95;16,30;4,15;10,80;
1.2.2005;9,95;16,30;4,15;10,80;
1.3.2005;10,45;16,80;4,15;10,80;
1.4.2005;10,70;17,05;4,15;10,80;
1.5.2005;10,70;17,05;4,15;10,80;
1.6.2005;11,20;17,55;4,15;10,80;
1.7.2005;11,20;17,55;4,15;10,80;
1.8.2005;11,20;17,55;4,15;10,80;
1.9.2005;11,20;17,55;4,15;10,80;
1.10.2005;11,95;18,30;4,15;10,80;
1.11.2005;11,95;18,30;4,15;10,80;
1.12.2005;12,20;18,55;4,15;10,80;
1.1.2006;12,20;18,55;4,15;10,80;
1.2.2006;12,45;18,80;4,15;10,80;
1.3.2006;12,45;18,80;4,30;10,80;
1.4.2006;13,20;19,55;4,60;10,80;
1.5.2006;13,20;20,30;4,60;10,95;
1.6.2006;13,95;20,40;4,75;11,10;
1.7.2006;14,70;21,15;4,85;11,20;
1.8.2006;15,20;21,65;4,85;11,20;
1.9.2006;15,70;22,15;4,85;11,20;
1.10.2006;15,70;22,15;4,85;11,20;
1.11.2006;15,70;22,15;4,85;11,45;
1.12.2006;16,00;22,15;4,85;11,70;
1.1.2007;16,20;22,40;4,95;12,70;
1.2.2007;16,20;22,40;4,95;12,75;
1.3.2007;16,20;22,40;4,95;12,70;
1.4.2007;16,20;22,40;4,95;13,00;
1.5.2007;16,20;22,40;4,95;13,50;
1.6.2007;16,20;22,40;4,95;13,50;
1.7.2007;16,20;22,40;5,00;13,60;
1.8.2007;16,20;22,40;5,40;13,90;
1.9.2007;16,20;22,40;5,40;13,90;
1.10.2007;16,20;22,40;5,75;13,90;
1.11.2007;16,65;22,85;6,30;14,45;
1.12.2007;16,65;22,85;6,30;14,45;
1.1.2008;16,65;22,85;6,30;14,45;
1.2.2008;16,65;22,85;6,30;14,45;
1.3.2008;16,65;22,85;6,30;14,45;
1.4.2008;18,40;24,65;6,30;15,65;
1.5.2008;18,40;24,65;6,30;15,65;
1.6.2008;18,40;24,65;6,30;15,65;
1.7.2008;18,40;24,65;6,05;15,65;
1.8.2008;18,40;24,65;6,05;15,65;
1.9.2008;18,40;24,65;6,05;15,65;
1.10.2008;14,90;21,15;5,90;15,35;
1.11.2008;20,90;26,85;5,90;15,35;
1.12.2008;20,90;26,85;5,90;15,35;
