Date;Policy interest rates
03.01.2007;13,30
04.01.2007;13,30
05.01.2007;13,30
08.01.2007;13,30
09.01.2007;13,30
10.01.2007;13,30
11.01.2007;13,30
12.01.2007;13,30
15.01.2007;13,30
16.01.2007;13,30
17.01.2007;13,30
18.01.2007;13,30
19.01.2007;13,30
22.01.2007;13,30
23.01.2007;13,30
24.01.2007;13,30
25.01.2007;13,30
26.01.2007;13,30
29.01.2007;13,30
30.01.2007;13,30
31.01.2007;13,30
01.02.2007;13,30
02.02.2007;13,30
05.02.2007;13,30
06.02.2007;13,30
07.02.2007;13,30
08.02.2007;13,30
09.02.2007;13,30
12.02.2007;13,30
13.02.2007;13,30
14.02.2007;13,30
15.02.2007;13,30
16.02.2007;13,30
19.02.2007;13,30
20.02.2007;13,30
21.02.2007;13,30
22.02.2007;13,30
23.02.2007;13,30
26.02.2007;13,30
27.02.2007;13,30
28.02.2007;13,30
01.03.2007;13,30
02.03.2007;13,30
05.03.2007;13,30
06.03.2007;13,30
07.03.2007;13,30
08.03.2007;13,30
09.03.2007;13,30
12.03.2007;13,30
13.03.2007;13,30
14.03.2007;13,30
15.03.2007;13,30
16.03.2007;13,30
19.03.2007;13,30
20.03.2007;13,30
21.03.2007;13,30
22.03.2007;13,30
23.03.2007;13,30
26.03.2007;13,30
27.03.2007;13,30
28.03.2007;13,30
29.03.2007;13,30
30.03.2007;13,30
02.04.2007;13,30
03.04.2007;13,30
04.04.2007;13,30
10.04.2007;13,30
11.04.2007;13,30
12.04.2007;13,30
13.04.2007;13,30
16.04.2007;13,30
17.04.2007;13,30
18.04.2007;13,30
20.04.2007;13,30
23.04.2007;13,30
24.04.2007;13,30
25.04.2007;13,30
26.04.2007;13,30
27.04.2007;13,30
30.04.2007;13,30
02.05.2007;13,30
03.05.2007;13,30
04.05.2007;13,30
07.05.2007;13,30
08.05.2007;13,30
09.05.2007;13,30
10.05.2007;13,30
11.05.2007;13,30
14.05.2007;13,30
15.05.2007;13,30
16.05.2007;13,30
18.05.2007;13,30
21.05.2007;13,30
22.05.2007;13,30
23.05.2007;13,30
24.05.2007;13,30
25.05.2007;13,30
29.05.2007;13,30
30.05.2007;13,30
31.05.2007;13,30
01.06.2007;13,30
04.06.2007;13,30
05.06.2007;13,30
06.06.2007;13,30
07.06.2007;13,30
08.06.2007;13,30
11.06.2007;13,30
12.06.2007;13,30
13.06.2007;13,30
14.06.2007;13,30
15.06.2007;13,30
18.06.2007;13,30
19.06.2007;13,30
20.06.2007;13,30
21.06.2007;13,30
22.06.2007;13,30
25.06.2007;13,30
26.06.2007;13,30
27.06.2007;13,30
28.06.2007;13,30
29.06.2007;13,30
02.07.2007;13,30
03.07.2007;13,30
04.07.2007;13,30
05.07.2007;13,30
06.07.2007;13,30
09.07.2007;13,30
10.07.2007;13,30
11.07.2007;13,30
12.07.2007;13,30
13.07.2007;13,30
16.07.2007;13,30
17.07.2007;13,30
18.07.2007;13,30
19.07.2007;13,30
20.07.2007;13,30
23.07.2007;13,30
24.07.2007;13,30
25.07.2007;13,30
26.07.2007;13,30
27.07.2007;13,30
30.07.2007;13,30
31.07.2007;13,30
01.08.2007;13,30
02.08.2007;13,30
03.08.2007;13,30
07.08.2007;13,30
08.08.2007;13,30
09.08.2007;13,30
10.08.2007;13,30
13.08.2007;13,30
14.08.2007;13,30
15.08.2007;13,30
16.08.2007;13,30
17.08.2007;13,30
20.08.2007;13,30
21.08.2007;13,30
22.08.2007;13,30
23.08.2007;13,30
24.08.2007;13,30
27.08.2007;13,30
28.08.2007;13,30
29.08.2007;13,30
30.08.2007;13,30
31.08.2007;13,30
03.09.2007;13,30
04.09.2007;13,30
05.09.2007;13,30
06.09.2007;13,30
07.09.2007;13,30
10.09.2007;13,30
11.09.2007;13,30
12.09.2007;13,30
13.09.2007;13,30
14.09.2007;13,30
17.09.2007;13,30
18.09.2007;13,30
19.09.2007;13,30
20.09.2007;13,30
21.09.2007;13,30
24.09.2007;13,30
25.09.2007;13,30
26.09.2007;13,30
27.09.2007;13,30
28.09.2007;13,30
01.10.2007;13,30
02.10.2007;13,30
03.10.2007;13,30
04.10.2007;13,30
05.10.2007;13,30
08.10.2007;13,30
09.10.2007;13,30
10.10.2007;13,30
11.10.2007;13,30
12.10.2007;13,30
15.10.2007;13,30
16.10.2007;13,30
17.10.2007;13,30
18.10.2007;13,30
19.10.2007;13,30
22.10.2007;13,30
23.10.2007;13,30
24.10.2007;13,30
25.10.2007;13,30
26.10.2007;13,30
29.10.2007;13,30
30.10.2007;13,30
31.10.2007;13,30
