municipality;number_of_people
Seltjarnarnesbær;4572
Reykjavíkurborg;136894
Akureyrarbær;19812
Rangárþing ytra;1867
Reykjanesbær;21957
Garðabær;19088
Hafnarfjarðarkaupstaður;30616
Fjarðabyggð;5163
Mosfellsbær;13403
Borgarbyggð;4100
Suðurnesjabær;3897
Kópavogsbær;39335
Múlaþing;5177
Hveragerðisbær;3265
Ísafjarðarbær;3797
Akraneskaupstaður;8071
Stykkishólmsbær;1266
Bolungarvíkurkaupstaður;989
Skagafjörður;4276
Dalvíkurbyggð;1866
Vestmannaeyjabær;4444
Grímsnes-og Grafningshreppur;539
Sveitarfélagið Árborg;11565
Sveitarfélagið Hornafjörður;2487
Rangárþing eystra;2007
Bláskógabyggð;1322
Mýrdalshreppur;881
Fjallabyggð;1973
Norðurþing;3081
Kjósarhreppur;269
Sveitarfélagið Vogar;1500
Grindavíkurbær;3579
Sveitarfélagið Ölfus;2631
Hrunamannahreppur;865
Langanesbyggð;540
Húnaþing vestra;1212
Húnabyggð;1263
Þingeyjarsveit;1410
Eyjafjarðarsveit;1162
Snæfellsbær;1617
Sveitarfélagið Skagaströnd;457
Grundarfjarðarbær;821
Hörgársveit;791
Súðavíkurhreppur;219
Ásahreppur;293
Vopnafjarðarhreppur;650
Skorradalshreppur;52
Svalbarðsstrandarhreppur;491
Kaldrananeshreppur;104
Vesturbyggð;1106
Flóahreppur;699
Dalabyggð;642
Skeiða- og Gnúpverjahreppur;591
Skaftárhreppur;620
Hvalfjarðarsveit;727
Tálknafjarðarhreppur;250
Strandabyggð;414
Grýtubakkahreppur;396
Fljótsdalshreppur;95
Reykhólahreppur;236
Skagabyggð;86
Tjörneshreppur;52
Árneshreppur;53
Eyja- og Miklaholtshreppur;123
;383726
